road,avg_flood_score,closest_flood_category
R601,2.1780821917808217,Moderate River Flooding
R602,1.6,Moderate River Flooding
R603,2.2954545454545454,Moderate River Flooding
R604,1.9189189189189189,Moderate River Flooding
R605,2.5384615384615383,Low River Flooding
R681,0.058823529411764705,Not Flood Prone
R682,0.0,Not Flood Prone
R685,0.4838709677419355,Not Flood Prone
R710,1.9927007299270072,Moderate River Flooding
R711,2.0,Moderate River Flooding
R712,2.0,Moderate River Flooding
R713,2.0,Moderate River Flooding
R720,2.27,Moderate River Flooding
R743,0.5454545454545454,Severe River Flooding
R745,2.779591836734694,Low River Flooding
R746,2.8333333333333335,Low River Flooding
R747,2.9302325581395348,Low River Flooding
R748,2.629032258064516,Low River Flooding
R749,3.0,Low River Flooding
R755,3.0,Low River Flooding
R760,4.837037037037037,Moderate Flash Flooding
R765,2.2916666666666665,Moderate River Flooding
R770,4.415841584158416,Severe Flash Flooding
R771,2.943396226415094,Low River Flooding
R802,0.0,Not Flood Prone
R810,0.42857142857142855,Not Flood Prone
R812,0.4158415841584158,Not Flood Prone
R813,0.0,Not Flood Prone
R814,0.75,Severe River Flooding
R820,2.131782945736434,Moderate River Flooding
R850,1.04,Severe River Flooding
R851,2.0,Moderate River Flooding
R860,1.116504854368932,Severe River Flooding
R861,1.0434782608695652,Severe River Flooding
R870,7.830687830687831,Moderate Tidal Surge
R880,7.220183486238532,Severe Tidal Surge
R881,6.9125,Severe Tidal Surge
R890,4.690721649484536,Moderate Flash Flooding
Z1001,0.625,Severe River Flooding
Z1002,3.8461538461538463,Severe Flash Flooding
Z1004,1.5096153846153846,Moderate River Flooding
Z1005,3.8135593220338984,Severe Flash Flooding
Z1007,3.902439024390244,Severe Flash Flooding
Z1008,2.0,Moderate River Flooding
Z1009,0.0,Not Flood Prone
Z1012,1.1111111111111112,Severe River Flooding
Z1013,2.0338983050847457,Moderate River Flooding
Z1016,6.758620689655173,Severe Tidal Surge
Z1017,2.23728813559322,Moderate River Flooding
Z1018,5.0,Moderate Flash Flooding
Z1019,1.0317460317460319,Severe River Flooding
Z1021,0.9,Severe River Flooding
Z1022,2.193548387096774,Moderate River Flooding
Z1026,0.0,Not Flood Prone
Z1028,1.2666666666666666,Severe River Flooding
Z1029,2.1363636363636362,Moderate River Flooding
Z1030,4.290322580645161,Severe Flash Flooding
Z1031,3.791208791208791,Severe Flash Flooding
Z1032,5.075,Moderate Flash Flooding
Z1033,2.985294117647059,Low River Flooding
Z1034,3.246376811594203,Low River Flooding
Z1035,0.625,Severe River Flooding
Z1036,1.829268292682927,Moderate River Flooding
Z1037,0.0,Not Flood Prone
Z1038,4.722222222222222,Moderate Flash Flooding
Z1039,2.1818181818181817,Moderate River Flooding
Z1040,1.2962962962962963,Severe River Flooding
Z1041,3.5,Low River Flooding
Z1042,2.4365079365079363,Moderate River Flooding
Z1043,2.0,Moderate River Flooding
Z1044,2.7815126050420167,Low River Flooding
Z1045,3.4545454545454546,Low River Flooding
Z1046,1.6666666666666667,Moderate River Flooding
Z1047,1.8823529411764706,Moderate River Flooding
