name,avg_flood_score,closest_flood_category
Bajalia Bridge-2,0.0,Not Flood Prone
Bajitpur Bridge,0.0,Not Flood Prone
Bajlia Bridge-01,0.0,Not Flood Prone
Bakal bridge,3.0,Low River Flooding
Bakerganj Steel Bridge,8.0,Moderate Tidal Surge
Bakhtarpul Bridge,0.0,Not Flood Prone
Bakhunda Bridge,2.0,Moderate River Flooding
Bakhunda bridge,2.0,Moderate River Flooding
Bakkhali Bridge,5.0,Moderate Flash Flooding
Bakosh Pol Bridge,3.0,Low River Flooding
Baksu Bridge,3.0,Low River Flooding
Bala Nagar Bridge,3.0,Low River Flooding
Balai Bridge.,3.0,Low River Flooding
Balai bridge.,3.0,Low River Flooding
Balakandia Bridge.,3.0,Low River Flooding
Balar Bazar Bridge,1.0,Severe River Flooding
Baldhakhal Bridge,2.0,Moderate River Flooding
Baleshware bridge,8.0,Moderate Tidal Surge
Baletoli Bridge,0.0,Not Flood Prone
Baliabari bailey Bridge,0.0,Not Flood Prone
Baliaghata-3 Bridge,0.0,Not Flood Prone
Baliakhali bridge,8.0,Moderate Tidal Surge
Balichanda,5.0,Moderate Flash Flooding
Baligaon Bridge,0.0,Not Flood Prone
Baligaon Pathanbari Bridge,0.0,Not Flood Prone
Balikhal Bridge,0.0,Not Flood Prone
Balipara Bazar Bridge,8.0,Moderate Tidal Surge
Balipara Bridge,3.0,Low River Flooding
Balitha Bridge,3.0,Low River Flooding
Balizuri Bridge,0.0,Not Flood Prone
Balkutia Bridge,3.0,Low River Flooding
Baltoli bridge,3.0,Low River Flooding
Balu Khali Bridge,0.0,Not Flood Prone
Baludanga Bridge,0.0,Not Flood Prone
Baluha Chowmohoni Bridge,3.0,Low River Flooding
Balukhali Bridge,0.0,Not Flood Prone
Balur char Bridge,0.0,Not Flood Prone
Balutila Bridge,0.0,Not Flood Prone
Bamonkanda Bridge,2.0,Moderate River Flooding
Bamonshur Bridge,3.0,Low River Flooding
Bamrail bridge,0.0,Not Flood Prone
Bamundanga Bridge.,0.0,Not Flood Prone
Banabazar Bridge,0.0,Not Flood Prone
Bananibazaar,5.0,Moderate Flash Flooding
Banarhola Box Culvert,0.0,Not Flood Prone
Banari bridge,3.0,Low River Flooding
Banchonagar box culvert,0.0,Not Flood Prone
Bandaghata Bridge,8.0,Moderate Tidal Surge
Bandaikhal Bridge,2.0,Moderate River Flooding
Bandar Amtala Bridge,3.0,Low River Flooding
Bandar Bridge,3.0,Low River Flooding
Bandarkhola Bridge,2.0,Moderate River Flooding
Bandhaghata Bridge,3.0,Low River Flooding
Bandighi Bridge,0.0,Not Flood Prone
Bandiram char bridge.,2.0,Moderate River Flooding
Baneswar Bridge,3.0,Low River Flooding
Bangalhalia Bridge.,0.0,Not Flood Prone
Banggapul Bridge,2.0,Moderate River Flooding
Banggura Bridge,0.0,Not Flood Prone
Bangl Bari Bridge,2.0,Moderate River Flooding
Bangla Bazar Bridge,2.75,Low River Flooding
Banglabazar bridge,0.0,Not Flood Prone
Bangladaha Bridge,0.0,Not Flood Prone
Bangmara Bridge,0.0,Not Flood Prone
Bangra Bridge,3.0,Low River Flooding
Bangra Tabor Bridge,0.0,Not Flood Prone
Bangram Bridge,0.0,Not Flood Prone
Bania bari-1 Bridge,0.0,Not Flood Prone
Baniajuri Bridge,2.0,Moderate River Flooding
Baniapara Bridge,3.0,Low River Flooding
Bank Para Bridge(left),3.0,Low River Flooding
Bank Town Bridge(right),3.0,Low River Flooding
Banlayesh Bridge,2.0,Moderate River Flooding
Bannatal Bridge,2.0,Moderate River Flooding
Banogram Bridge,2.0,Moderate River Flooding
Banti Bridge,0.0,Not Flood Prone
Baoytara Bridge,2.0,Moderate River Flooding
Baraikhali Bazar Bridge-1,2.0,Moderate River Flooding
Baraikhali Bazar Bridge-2,2.0,Moderate River Flooding
Baraikhali Bridge,2.0,Moderate River Flooding
Baraipara Bridge,3.0,Low River Flooding
Baraitala Bridge,0.0,Not Flood Prone
Baraitola 3rd Bridge,1.5,Severe River Flooding
Baral Bridge,2.0,Moderate River Flooding
Baral Bridge (12no),2.0,Moderate River Flooding
Baral bridge,2.0,Moderate River Flooding
Barala Bridge,2.0,Moderate River Flooding
Baranatul Bridge,2.0,Moderate River Flooding
Barandipara Bridge,0.0,Not Flood Prone
Barapusha Bridge,3.0,Low River Flooding
Barari Bridge,2.0,Moderate River Flooding
Barashia Bridge,2.0,Moderate River Flooding
Barasia Bridge.,2.0,Moderate River Flooding
Barati Bridge,0.0,Not Flood Prone
Barda Bridge,3.0,Low River Flooding
Barda Bridge.,3.0,Low River Flooding
Bardopur Bridge,0.0,Not Flood Prone
Barhatta,3.0,Low River Flooding
Bari vara Bridge,6.0,Low Flash Flooding
Barikhali Steel Bridge,7.0,Severe Tidal Surge
Barka Baz Bridge,3.0,Low River Flooding
Barkal Bridge,0.0,Not Flood Prone
Barkor Nagar Bridge,0.0,Not Flood Prone
Barmiss Market,3.3333333333333335,Low River Flooding
Barnia Bridge,2.0,Moderate River Flooding
Baro Aulia,5.0,Moderate Flash Flooding
Baro Bari Bridge,3.0,Low River Flooding
Baro Thakur Bridge,2.0,Moderate River Flooding
Baro Vangura Bridge,2.0,Moderate River Flooding
Barobinnadari Bridge,2.0,Moderate River Flooding
Barodia Khali Bridge,3.0,Low River Flooding
Baroi Gram Bridge,2.0,Moderate River Flooding
Baroicha Bridge,3.0,Low River Flooding
Baroihati Bridge,0.0,Not Flood Prone
Baroikhali Bridge,3.0,Low River Flooding
Barokhada Bridge,2.0,Moderate River Flooding
Baromary culvert,5.0,Moderate Flash Flooding
Baromashi Bridge,3.0,Low River Flooding
Baromohisdia bridge,2.0,Moderate River Flooding
Barura Bridge,2.0,Moderate River Flooding
Baruwal Bridge,2.0,Moderate River Flooding
Basagari Bridge,2.0,Moderate River Flooding
Basail Bridge,3.0,Low River Flooding
Bash Bari Bridge,0.0,Not Flood Prone
Bashbaria Bridge,7.0,Severe Tidal Surge
Bashbunia Steel Bridge,8.0,Moderate Tidal Surge
Bashdumur Bridge,2.0,Moderate River Flooding
Bashori bridge,3.0,Low River Flooding
Bashoria Bridge,2.0,Moderate River Flooding
Bashtolar Bridge,7.0,Severe Tidal Surge
Basnal Bridge,0.0,Not Flood Prone
Basonda Bridge,8.0,Moderate Tidal Surge
Basudeb Bridge,2.0,Moderate River Flooding
Batagori Bridge-4,0.0,Not Flood Prone
Bataner Bridge,2.0,Moderate River Flooding
Batapur Bridge,0.0,Not Flood Prone
Batbari Bridge,0.0,Not Flood Prone
Batchara Bridge-3,0.0,Not Flood Prone
Bathaimuri Bridge,2.0,Moderate River Flooding
Bathoimuri Bridge,2.0,Moderate River Flooding
Bathuli Bazar Bridge,3.0,Low River Flooding
Bathuli Bridge,3.0,Low River Flooding
Bathuli- 2 Bridge,3.0,Low River Flooding
Batikamari Bridge,2.0,Moderate River Flooding
Batikumari Bridge,2.0,Moderate River Flooding
Bauddor chara,5.0,Moderate Flash Flooding
Bauphal Daspara bridge,8.0,Moderate Tidal Surge
Baushia Bridge(L),2.0,Moderate River Flooding
Baushia Bridge(R),2.0,Moderate River Flooding
Baushia bazar Bridge ( R ),2.0,Moderate River Flooding
Baushia bazar Bridge( L ),2.0,Moderate River Flooding
Bausi Bridge,2.0,Moderate River Flooding
Bawra para Bridge,3.0,Low River Flooding
Bawsi bridge,3.0,Low River Flooding
Bayratata Bridge,7.0,Severe Tidal Surge
Bazar Ghat Bridge,2.0,Moderate River Flooding
Bazar Ghata,5.0,Moderate Flash Flooding
Bazar box culvert,0.0,Not Flood Prone
Bedhaia Ghendi Steel Bridge.,2.0,Moderate River Flooding
Begura -2 Bridge,4.0,Severe Flash Flooding
Begurga -1 Bridge,4.0,Severe Flash Flooding
Belam Bridge,6.0,Low Flash Flooding
Bella Gawn,0.0,Not Flood Prone
Belonia Bridge,5.0,Moderate Flash Flooding
Belpukur Bridge,0.0,Not Flood Prone
Beltala Bridge,8.0,Moderate Tidal Surge
Beltala bridge,8.0,Moderate Tidal Surge
Beltoli Bridge,2.0,Moderate River Flooding
Belupara Bridge,3.0,Low River Flooding
Bendar Para Bridge,0.0,Not Flood Prone
Bera hospital Bridge,2.0,Moderate River Flooding
Beribad Bridge,5.0,Moderate Flash Flooding
Beroli Bridge,0.0,Not Flood Prone
Betagi bridge,8.0,Moderate Tidal Surge
Betgram Bridge,3.0,Low River Flooding
Betna Bridge,3.0,Low River Flooding
Betraboti bridge,2.0,Moderate River Flooding
Betroboti Bridge.,2.0,Moderate River Flooding
Bhabanipur Bridge,0.0,Not Flood Prone
Bhaber char Bazar Bridge,2.0,Moderate River Flooding
Bhaber char Bridge(L),2.0,Moderate River Flooding
Bhaber char Bridge(R),2.0,Moderate River Flooding
Bhabki Bridge,0.0,Not Flood Prone
Bhadurpara Bridge-2,5.0,Moderate Flash Flooding
Bhaidakhola Bridge,3.0,Low River Flooding
Bhaiduvi Bridge,3.0,Low River Flooding
Bhairab Bridge,0.0,Not Flood Prone
Bhajanpur Bridge,6.0,Low Flash Flooding
Bhaktpur Bridge,0.0,Not Flood Prone
Bhaluka bridge,0.0,Not Flood Prone
Bhandarpur Bridge,0.0,Not Flood Prone
Bhanga Bridge,2.0,Moderate River Flooding
Bhanga pur Bridge.,0.0,Not Flood Prone
Bhanugach Bridge,0.0,Not Flood Prone
Bhatchara bridge-1,0.0,Not Flood Prone
Bhatchora Bridge-2,0.0,Not Flood Prone
Bhatchora Bridger-1,0.0,Not Flood Prone
Bhater char Bridge (L),2.0,Moderate River Flooding
Bhater char Bridge (R),2.0,Moderate River Flooding
Bhatkura Bridge,3.0,Low River Flooding
Bhaturia Bridge,0.0,Not Flood Prone
Bhawal Bridge,3.0,Low River Flooding
Bhawal Manohar Bridge,3.0,Low River Flooding
Bhawalia Bazu bridge,0.0,Not Flood Prone
Bhela Bridge,0.0,Not Flood Prone
Bheramara G.K 3rd Bridge,3.0,Low River Flooding
Bheramara GK 3rd Bridge,3.0,Low River Flooding
Bhobongur Bridge,3.0,Low River Flooding
Bhoddo barir Bridge,6.0,Low Flash Flooding
Bhomga Bridge,0.0,Not Flood Prone
Bhubaneswar Bridge,8.0,Moderate Tidal Surge
Bhuiyapara Bridge.,2.0,Moderate River Flooding
Bhum Dokhin Bridge,3.0,Low River Flooding
Bhuyar Bazar Bridge,3.0,Low River Flooding
Bidyananda Bridge,0.0,Not Flood Prone
Bigga Bridge,3.0,Low River Flooding
Bihari Nagar Bridge.,0.0,Not Flood Prone
Biharinagar Bridge,0.0,Not Flood Prone
Bijoypasha Purbopara Bridge,2.0,Moderate River Flooding
Bijoypur Bridge,4.0,Severe Flash Flooding
Bilay More Bridge,4.0,Severe Flash Flooding
Bildharampur Bridge,0.0,Not Flood Prone
Bimankanda bridge,2.0,Moderate River Flooding
Binagou Bridge,4.0,Severe Flash Flooding
Binerpota bridge,7.0,Severe Tidal Surge
Bingla Bari Bridge,2.0,Moderate River Flooding
Binirpota Bridge,7.0,Severe Tidal Surge
Binnadari Bridge,2.0,Moderate River Flooding
Binnagani bridge,0.0,Not Flood Prone
Binnipara Bridge,0.0,Not Flood Prone
Binod Ronpur Bridge,3.0,Low River Flooding
Birakhay Bridge,2.0,Moderate River Flooding
Birbager Bridge,0.0,Not Flood Prone
Birilia Steel bridge,0.0,Not Flood Prone
Birtara Bridge,3.0,Low River Flooding
Bishakhali Bridge,2.0,Moderate River Flooding
Bishambarpur T & T Bridge,4.0,Severe Flash Flooding
Bishiura bridge,3.0,Low River Flooding
Bishna Bridge,3.0,Low River Flooding
Bishnupur Bridge,2.0,Moderate River Flooding
Bishoroad Mirdhakandi Bridge,1.0,Severe River Flooding
Bishwanath Bridge,2.0,Moderate River Flooding
Bishwas barir Bridge,8.0,Moderate Tidal Surge
Bisnandi Bailey,2.0,Moderate River Flooding
Bisnopur Bazar Bridge,0.0,Not Flood Prone
Bisnopur Bridge,0.0,Not Flood Prone
Bisnopur-1 Bridge,0.0,Not Flood Prone
Bitimargal Bridge,0.0,Not Flood Prone
Bittipara Bridge,3.0,Low River Flooding
Bizna Bridge,0.0,Not Flood Prone
Bizna Bridge.,2.0,Moderate River Flooding
Bizrapar Bridge,2.0,Moderate River Flooding
Boalia Bazar Bridge,8.0,Moderate Tidal Surge
Boalmari Bridge,2.0,Moderate River Flooding
Boalmari gorostan Bridge.,2.0,Moderate River Flooding
Board Office Bridge,8.0,Moderate Tidal Surge
Board School Bridge,8.0,Moderate Tidal Surge
Boarder Bazar Bridge,3.0,Low River Flooding
Boboti Bazar-(1),0.0,Not Flood Prone
Bodbangar Bridge,2.0,Moderate River Flooding
Boddhopara Bridge,0.0,Not Flood Prone
Bodoitola Bridge,0.0,Not Flood Prone
Bodumunshi para Bridge,0.0,Not Flood Prone
Bogadhor Bridge- 2,2.0,Moderate River Flooding
Bogadia Bridge,3.0,Low River Flooding
Bogadubi Bridge,3.0,Low River Flooding
Bogail Bridge,2.0,Moderate River Flooding
Bogapara Bridge,0.0,Not Flood Prone
Bogar Bridge,8.0,Moderate Tidal Surge
Bogla Para Bridge,6.0,Low Flash Flooding
Bogla bridge,0.0,Not Flood Prone
Bogra Baily Bridge,8.0,Moderate Tidal Surge
Bogra Bridge,3.0,Low River Flooding
Bogra Bridge.,3.0,Low River Flooding
Bohadder Bridge,0.0,Not Flood Prone
Bohuli Bridge,2.0,Moderate River Flooding
Boinda khali bridge,3.0,Low River Flooding
Boirala,6.0,Low Flash Flooding
Bojorghati Bridge,0.0,Not Flood Prone
Bojradighi Jan,3.0,Low River Flooding
Boklarpur Bazar,0.0,Not Flood Prone
Bokshelivhuiya Bridge,0.0,Not Flood Prone
Boktarpur Bazar Bridge,0.0,Not Flood Prone
Boktarpur Box Culvert,0.0,Not Flood Prone
Bolbaria Bridge,2.0,Moderate River Flooding
Bolgram Bridge,2.0,Moderate River Flooding
Bolihar Bridge,0.0,Not Flood Prone
Bolir Pul Bridge,7.0,Severe Tidal Surge
Bolla Bazar Bridge,2.0,Moderate River Flooding
Bollar Pool Bridge,2.0,Moderate River Flooding
Bolloppur Bridge,2.0,Moderate River Flooding
Boly Bridge,0.0,Not Flood Prone
Bombomi Bridge,6.0,Low Flash Flooding
Bonchaki Bridge,2.0,Moderate River Flooding
Bondir Bridge,2.0,Moderate River Flooding
Bondorer pool Bridge,0.0,Not Flood Prone
Bongshai Bridge,0.0,Not Flood Prone
Bonnyar bridge,3.0,Low River Flooding
Bonomali Bridge,3.0,Low River Flooding
Borak Bridge,2.0,Moderate River Flooding
Borapara bridge,0.0,Not Flood Prone
Borchora Bridge,0.0,Not Flood Prone
Bordia Bridge,2.0,Moderate River Flooding
Bordohar Bridge,0.0,Not Flood Prone
Bordosia Bridge,4.0,Severe Flash Flooding
Borni Bridge,2.0,Moderate River Flooding
Boro Alompur Arch Masonary,2.0,Moderate River Flooding
Boro Baghuina Bridge,2.0,Moderate River Flooding
Boro Bhangura Bridge,2.0,Moderate River Flooding
Boro Bridge,7.0,Severe Tidal Surge
Boro Char Bridge,0.0,Not Flood Prone
Boro Chora Bridge,5.0,Moderate Flash Flooding
Boro Dolu Bridge,0.0,Not Flood Prone
Boro Gabua Bridge,7.0,Severe Tidal Surge
Boro Gung Bridge,0.0,Not Flood Prone
Boro Ichapur Bridge,3.0,Low River Flooding
Borobil Bridge,0.0,Not Flood Prone
Borochowgram Bridge,0.0,Not Flood Prone
Borogozni Bridge,0.0,Not Flood Prone
Borohor Bazar Bridge,0.0,Not Flood Prone
Borohoron Bridge,6.0,Low Flash Flooding
Boroitoli Bridge,5.0,Moderate Flash Flooding
Boroiya bridge,0.0,Not Flood Prone
Borokanda bridge,2.0,Moderate River Flooding
Borokhuia Bridge,0.0,Not Flood Prone
Borolia Bridge,0.0,Not Flood Prone
Boronala Bridge,0.0,Not Flood Prone
Borongail Bridge,2.0,Moderate River Flooding
Boropool Bridge,0.0,Not Flood Prone
Borora Bridge,2.0,Moderate River Flooding
Boroytola Bridge,0.0,Not Flood Prone
Boruapara Bridge,0.0,Not Flood Prone
Borupa Para Bridge,0.0,Not Flood Prone
Borychory,0.0,Not Flood Prone
Bosna Bridge.,3.0,Low River Flooding
Bosra Bridge,8.0,Moderate Tidal Surge
Bot Toly Bridge,3.0,Low River Flooding
Bot tala Bridge,2.0,Moderate River Flooding
Botla Bridge,8.0,Moderate Tidal Surge
Botrakhali Bridge,4.0,Severe Flash Flooding
Bottala Bridge,8.0,Moderate Tidal Surge
Bottoli Bridge,0.0,Not Flood Prone
Boudhya Khandi Boro Steel Bridge,2.0,Moderate River Flooding
Boulia Monohordi,3.0,Low River Flooding
Bourgata bridge,0.0,Not Flood Prone
Bowaly Bridge,2.0,Moderate River Flooding
Box Culvert,0.4782608695652174,Not Flood Prone
Box culvert,0.0,Not Flood Prone
Boylapur Bridge(left),3.0,Low River Flooding
Boyoskaler pul Bridge,2.0,Moderate River Flooding
Boyragir Khil Bridge,0.0,Not Flood Prone
Brahman Bazar Bridge,0.0,Not Flood Prone
Brahmonkanda Bridge,2.0,Moderate River Flooding
Brick Field,0.0,Not Flood Prone
Brick Field Bridge,8.0,Moderate Tidal Surge
Bridge,3.0,Low River Flooding
Bridge Over Arial,3.0,Low River Flooding
Bridge Over Zugi Zangle,3.0,Low River Flooding
Bridge on Hurge river,2.0,Moderate River Flooding
Bridge over Bishna River,3.0,Low River Flooding
Bridge over Chitra river,2.0,Moderate River Flooding
Bridge over Katikhal,0.0,Not Flood Prone
Bridge over shila River,3.0,Low River Flooding
Bridge over turag river(L),0.0,Not Flood Prone
Brojerkandi Bridge,0.0,Not Flood Prone
Brommon Gram Bridge,2.0,Moderate River Flooding
Brorechon,0.0,Not Flood Prone
Bugaltala,0.0,Not Flood Prone
Buichid Bridge,3.0,Low River Flooding
Buktera Bridge,0.0,Not Flood Prone
Bulbuli Bridge,0.0,Not Flood Prone
Bullar Bazar Bridge,0.0,Not Flood Prone
Bupchipara Bridge,2.0,Moderate River Flooding
Bupinath Bridge,2.0,Moderate River Flooding
Burail Bridge,0.0,Not Flood Prone
Buri Bhairab Bridge,3.0,Low River Flooding
Burial Bridge,0.0,Not Flood Prone
Burianga bari Bridge,2.0,Moderate River Flooding
Burichar bridge,5.0,Moderate Flash Flooding
Burirhat Bailey Bridge,2.0,Moderate River Flooding
Buritala Bridge,0.0,Not Flood Prone
Burnarhat Bridge,3.0,Low River Flooding
Buro Camp Bridge,0.0,Not Flood Prone
Buruj Bridge,0.0,Not Flood Prone
Bus Stand -1 Bridge,0.0,Not Flood Prone
Bus stand Bridge-2,0.0,Not Flood Prone
Busna Bridge,0.0,Not Flood Prone
Bypile Bridge,3.0,Low River Flooding
C & B Bridge,7.0,Severe Tidal Surge
C. M. B BAZAR BOX CUVERT,0.0,Not Flood Prone
C.C HIGH SCOOOL BOX CULVERT,0.0,Not Flood Prone
C.O Office more Bridge,0.0,Not Flood Prone
C.O office more Bridge,0.0,Not Flood Prone
CADET COLLEGE,2.0,Moderate River Flooding
CALACHOK,3.0,Low River Flooding
CALACHOK BOX CULVERT,3.0,Low River Flooding
CALOCHO BOX CULVERT,3.0,Low River Flooding
CALUNIA SLAB CULVERT,0.0,Not Flood Prone
CAND NAR ZANAA,3.0,Low River Flooding
CANPUR CALVERT,3.0,Low River Flooding
CANTON MENT SLAB CULVERT,0.0,Not Flood Prone
CANTONMENT CULVERT,0.0,Not Flood Prone
CAR MADABDI,3.0,Low River Flooding
CARKATEBRI,0.0,Not Flood Prone
CATONFACTRY CULVERT,0.0,Not Flood Prone
CHA PATIYA BRIGE,3.0,Low River Flooding
CHABISH MILE(2)CULVERT,0.0,Not Flood Prone
CHABITALA RCC GIDER BRIDGE,0.0,Not Flood Prone
CHACHAN BRIDGE,2.0,Moderate River Flooding
CHACHOYA,3.0,Low River Flooding
CHACHURI 2,5.0,Moderate Flash Flooding
CHACULI BAILECHOR,5.0,Moderate Flash Flooding
CHADCHURY CULVERT,0.0,Not Flood Prone
CHADDAGRAM BAZAR BOX CULVERT,4.0,Severe Flash Flooding
CHADGAJI,0.0,Not Flood Prone
CHADIRIKHANA,0.0,Not Flood Prone
CHADNDU ZAJU,0.0,Not Flood Prone
CHAGAL NAIYA 3,0.0,Not Flood Prone
CHAGALNA PATSURAM,0.0,Not Flood Prone
CHAGALNAYA 2,0.0,Not Flood Prone
CHAGALRI,5.0,Moderate Flash Flooding
CHAGIANIA 1,0.0,Not Flood Prone
CHAGOL NAIYA,5.0,Moderate Flash Flooding
CHAGOLKHAIA BAILY,0.0,Not Flood Prone
CHAIA KHLI BRIDGE,7.0,Severe Tidal Surge
CHAIANI,0.0,Not Flood Prone
CHAIDARPUR CULVERT,2.0,Moderate River Flooding
CHAINANO BRIDGE,2.0,Moderate River Flooding
CHAINKHA BOX CULVERT,3.0,Low River Flooding
CHAIR WEST PARA,0.0,Not Flood Prone
CHAIRMAN GATE BOX CULVERT,5.0,Moderate Flash Flooding
CHAIRMAN GHAT BOX CULVERT(R),5.0,Moderate Flash Flooding
CHAIRMEN BARI BOX CULVERT,5.0,Moderate Flash Flooding
CHAIRWASTA PUR CULVERT,0.0,Not Flood Prone
CHAIRYA PC GIRDER BRIDGE,6.0,Low Flash Flooding
CHAITABOR BOX CULVERT,3.0,Low River Flooding
CHAITABUS - RCC GIRDER BRIDGE,2.0,Moderate River Flooding
CHAITANUE BOX CULVERT,0.0,Not Flood Prone
CHAK MIR PUR BRIDGE(R),1.0,Severe River Flooding
CHAKAR BARI,2.0,Moderate River Flooding
CHAKLA BAILEY WITH STEEL DECK,3.0,Low River Flooding
CHAKLA PUNGI,0.0,Not Flood Prone
CHAKLA SUB MARAGE,3.0,Low River Flooding
CHAKMAR KOOL BOX CULVERT,5.0,Moderate Flash Flooding
CHAKMARKOOL,5.0,Moderate Flash Flooding
CHAKMIR PUR BRIDGE(L),1.0,Severe River Flooding
CHAKMODI BAZAR BOX CULVERT,0.0,Not Flood Prone
CHAKNI KARA BRIDGE,6.0,Low Flash Flooding
CHAKRA BOX CULVERT,2.0,Moderate River Flooding
CHAKTA 1,2.0,Moderate River Flooding
CHAKTA 2,2.0,Moderate River Flooding
CHAKTA 3,2.0,Moderate River Flooding
CHAKTA BOX CULVERT,2.0,Moderate River Flooding
CHAL GAIN DIGIR,5.0,Moderate Flash Flooding
CHALACKCHOR BAZAR BOX CULVERT,3.0,Low River Flooding
CHALANCHA PUR BRIDGE,2.0,Moderate River Flooding
CHALANCHA PUR CULVERT,2.0,Moderate River Flooding
CHALATOLI,5.0,Moderate Flash Flooding
CHALCK CHOR SCHOOL SLAB,3.0,Low River Flooding
CHALCK CHOR SLAB CULVERT,3.0,Low River Flooding
CHALIYA TOLI -2 ARCH MASONRY,5.0,Moderate Flash Flooding
CHALIYATOLI,5.0,Moderate Flash Flooding
CHALLA BOP RCC GIDER BRIDGE,2.0,Moderate River Flooding
CHALLA RCC BRIDGE,2.0,Moderate River Flooding
CHALNI BAILEY WITH STEEL DECK,3.0,Low River Flooding
CHALNI EAB RCC GIDER BRIDGE,3.0,Low River Flooding
CHALTA BAZAR BOX CULVERT,4.0,Severe Flash Flooding
CHALTA BAZAR BRIDGE,4.0,Severe Flash Flooding
CHALTA BOX CULVERT,4.0,Severe Flash Flooding
CHALTAKHALI,5.0,Moderate Flash Flooding
CHALTALA BRIDGE,3.0,Low River Flooding
CHALTIPARA BRIDGE,2.0,Moderate River Flooding
CHAMBOL,5.0,Moderate Flash Flooding
CHAMDIPUR BOX CULVERT,2.0,Moderate River Flooding
CHAMILI BAG BOX CULVERT,4.0,Severe Flash Flooding
CHAMPAGHAT BOX CUL,0.0,Not Flood Prone
CHAMSHA BOX COULVERT,0.0,Not Flood Prone
CHAMTA BAZAR CULVERT,0.0,Not Flood Prone
CHAMURKI BOX CULVERT,0.0,Not Flood Prone
CHAN BAG CULVERT,0.0,Not Flood Prone
CHANALE BOX CULVERT,2.0,Moderate River Flooding
CHANBARIA BRIDGE,0.0,Not Flood Prone
CHAND BOX CULVERT,2.0,Moderate River Flooding
CHAND PARA,0.0,Not Flood Prone
CHAND PUR,3.0,Low River Flooding
CHANDA GONG BRIDGE,3.0,Low River Flooding
CHANDA PASA,0.0,Not Flood Prone
CHANDAN KANDI,0.0,Not Flood Prone
CHANDANKANSA,0.0,Not Flood Prone
CHANDAPARA,3.0,Low River Flooding
CHANDESHO BOX CUL,0.0,Not Flood Prone
CHANDINA- SHAHA PARA RCC GIDER GRIDGE,2.0,Moderate River Flooding
CHANDNIGHAT CULVERT,2.0,Moderate River Flooding
CHANDONA BAZAR BOX CULVERT,2.0,Moderate River Flooding
CHANDONISH,0.0,Not Flood Prone
CHANDORA CULVERT,0.0,Not Flood Prone
CHANDORA CULVERT (3),0.0,Not Flood Prone
CHANDOSHE BRIDGE,3.0,Low River Flooding
CHANDOSHE RCC GIDER BRIDGE,3.0,Low River Flooding
CHANDPUR,2.0,Moderate River Flooding
CHANDPUR BOX CULVERT,2.0,Moderate River Flooding
CHANDPUR STEEL BEAM AND RCC SLAB,4.0,Severe Flash Flooding
CHANDRA,0.0,Not Flood Prone
CHANDRA PARA BRIDGE,3.0,Low River Flooding
CHANDRAPUR,4.0,Severe Flash Flooding
CHANDRI CULVERT,0.0,Not Flood Prone
CHANDRIPUR,2.0,Moderate River Flooding
CHANDRO PASA,0.0,Not Flood Prone
CHANDROPUR,0.0,Not Flood Prone
CHANDULA BRIDGE,2.0,Moderate River Flooding
CHANDURA BOX CULVERT,6.0,Low Flash Flooding
CHANG KHALI BRIDGE,0.0,Not Flood Prone
CHANGA BARI,3.0,Low River Flooding
CHANGACHARI,0.0,Not Flood Prone
CHANGARPULL(II) BOX CULVERT,0.0,Not Flood Prone
CHANGATOLI BRIDGE,3.0,Low River Flooding
CHANGGINI BOX CULVERT,4.0,Severe Flash Flooding
CHANGI BRIDGE,0.0,Not Flood Prone
CHANGINIA (2) CULVERT,2.0,Moderate River Flooding
CHANGINIA (3)CULVERT,2.0,Moderate River Flooding
CHANGINIA (5) CULVERT,2.0,Moderate River Flooding
CHANGIPARA,0.0,Not Flood Prone
CHANGIRI CULVERT,2.0,Moderate River Flooding
CHANGIRIA (4) CULVERT,2.0,Moderate River Flooding
CHANGONG BOX CULVERT,5.0,Moderate Flash Flooding
CHANGRAM BOX CULVERT,2.0,Moderate River Flooding
CHANGURIA BOX CULVERT,0.0,Not Flood Prone
CHANI,0.0,Not Flood Prone
CHANIG BRIDGR,2.0,Moderate River Flooding
CHANKHALA,0.0,Not Flood Prone
CHANKHAR MORE BOX CULVERT,3.0,Low River Flooding
CHANKHDIA,5.0,Moderate Flash Flooding
CHANKULA,5.0,Moderate Flash Flooding
CHANPUR BOX CULVERT,5.0,Moderate Flash Flooding
CHANPUR SLAB CULVERT,5.0,Moderate Flash Flooding
CHANSIRI BOXCUIVERT,4.0,Severe Flash Flooding
CHANTRI CHARA CULVERTR,0.0,Not Flood Prone
CHANUGAJI,0.0,Not Flood Prone
CHAPA JURA,5.0,Moderate Flash Flooding
CHAPATALI,0.0,Not Flood Prone
CHAPATALI CULVERT,0.0,Not Flood Prone
CHAPITALA RCC GIDER BRIDGE,0.0,Not Flood Prone
CHAPRA,0.0,Not Flood Prone
CHAPRY,0.0,Not Flood Prone
CHAR ALGI BOX CULVERT,7.0,Severe Tidal Surge
CHAR BABZA RCC BRIDGE,3.0,Low River Flooding
CHAR BAILEY WITH STEEL DECK,0.0,Not Flood Prone
CHAR BOUSHEA (2),2.0,Moderate River Flooding
CHAR BOWSHIA BRIDGE(R),2.0,Moderate River Flooding
CHAR BY BCRDI SUB MARGE BOX CULVERT,3.0,Low River Flooding
CHAR HASANPUR SLAB,0.0,Not Flood Prone
CHAR JABBAR CULVERT 1,7.0,Severe Tidal Surge
