name,avg_flood_score,closest_flood_category
AKLASPUR CULVERT,3.0,Low River Flooding
AKLIMTOLA BRIDGE,3.0,Low River Flooding
AKONDO PORA,5.0,Moderate Flash Flooding
AKOTA BAZAR BOX CULVERT,0.0,Not Flood Prone
AKRAMPUR BRIDGE,2.0,Moderate River Flooding
AKTAPARA RCC GIRDER BRIDGE,6.0,Low Flash Flooding
AKTAPARA SLAB CULVERT,0.0,Not Flood Prone
AKTAPARA TRUSS WITH TRUSS WITH STEEL DECK,6.0,Low Flash Flooding
AL- AMIN BAZAR RCC GIDER BRIDGE,3.0,Low River Flooding
ALADINAGOR CULVERT,0.0,Not Flood Prone
ALAKZANDAR BOX CULVERT,7.0,Severe Tidal Surge
ALALPARA BOX CUL,0.0,Not Flood Prone
ALAM PUR BOX CULVERT,0.0,Not Flood Prone
ALAMDARPARA BOX CULVERT,5.0,Moderate Flash Flooding
ALAMIN BALAR GOFAR,3.0,Low River Flooding
ALAMIN BAZAR BOX CULVERT,1.0,Severe River Flooding
ALAMPUR BAILEY,2.0,Moderate River Flooding
ALAMPUR BRIDGE,2.0,Moderate River Flooding
ALANANDUR (2) BOX CULVERT,7.0,Severe Tidal Surge
ALAPAR SUMAI BRIDGE,0.0,Not Flood Prone
ALAPUR,2.0,Moderate River Flooding
ALASI BRIDGE,3.0,Low River Flooding
ALASIN BRIDGE,3.0,Low River Flooding
ALDIBAZAR BTRUSS BRIDGE,0.0,Not Flood Prone
ALI JKADAM BUSSTAND,0.0,Not Flood Prone
ALI NAGAR BOX CULVERT,2.0,Moderate River Flooding
ALI PURA P.C BRIDGE (RIGHT),2.0,Moderate River Flooding
ALIAKBOI,0.0,Not Flood Prone
ALIGANJ BOX CULVERT,0.0,Not Flood Prone
ALIGON BOX CULVERT,3.0,Low River Flooding
ALIGONGA SLAB CULVERT,0.0,Not Flood Prone
ALIKADAM BOX CULVERT,0.0,Not Flood Prone
ALINAPARA CUL,0.0,Not Flood Prone
ALINAPUR BOX CULVERT,3.0,Low River Flooding
ALIPUR BOX CULVERT,3.5,Low River Flooding
ALIPURA BRIDGE (LEFT),2.0,Moderate River Flooding
ALIR JAHAL,5.0,Moderate Flash Flooding
ALLAH BRIDGE,5.0,Moderate Flash Flooding
ALLAPUR,2.0,Moderate River Flooding
ALOHI GONJ,7.0,Severe Tidal Surge
ALOKANDA,0.0,Not Flood Prone
ALOM PUR SUBMARCH CULVERT,6.0,Low Flash Flooding
ALOMPUR,6.0,Low Flash Flooding
ALOMPUR CULVER,6.0,Low Flash Flooding
ALUTILA BRIDGE,0.0,Not Flood Prone
ALUTILA CULVERT,0.0,Not Flood Prone
AMAN GONG SLAB CULVERT,8.0,Moderate Tidal Surge
AMANATUR BOX CULVERT,2.0,Moderate River Flooding
AMAR BAZAR,0.0,Not Flood Prone
AMBAG BRIDGE,0.0,Not Flood Prone
AMBORKANA,4.0,Severe Flash Flooding
AMIR GOAN SLAB CULVERT,8.0,Moderate Tidal Surge
AMIR GONJ BOX CULVERT,3.0,Low River Flooding
AMIRABAD BOX CULVERT,0.0,Not Flood Prone
AMIRABAD LOHAGOR BOX CULVERT,0.0,Not Flood Prone
AMIRABAD LOHAGORA BOX CULVERT,0.0,Not Flood Prone
AMIRABAD PC GIDER BRIDGE,0.0,Not Flood Prone
AMIRABATH SLAB CULVERT,2.0,Moderate River Flooding
AMIRBARI PULL,3.0,Low River Flooding
AMIRPUR BOX CULVERT,3.0,Low River Flooding
AMLABOR,0.0,Not Flood Prone
AMLABOR BAZR,3.0,Low River Flooding
AMLAPARA,3.0,Low River Flooding
AMLAPARA (2),3.0,Low River Flooding
AMLI SLAB CULVERT,3.0,Low River Flooding
AMLITOLA BOX CULVERT,0.0,Not Flood Prone
AMOL SHID BOX CULVERT,2.0,Moderate River Flooding
AMOLSHID,2.0,Moderate River Flooding
AMPUR PC GIDER BRIDGE,3.0,Low River Flooding
AMRATOLI BAZAR,2.0,Moderate River Flooding
AMTALA BAZAR BOX CULVERT,0.0,Not Flood Prone
AMTALA BOX CULVERT,0.0,Not Flood Prone
AMTALI (1) SLAB CULVERT,0.0,Not Flood Prone
AMTALI BAILEY WITH STEEL DECK,0.0,Not Flood Prone
AMTALI BRIDGE,0.0,Not Flood Prone
AMTALI SCAB,3.0,Low River Flooding
AMTOLI,0.0,Not Flood Prone
AMTOLI (2) BOX CULVERT,0.0,Not Flood Prone
AMTOLI BAZAR BOX CULVERT,0.0,Not Flood Prone
AMTOLI BOX CULVERT,2.25,Moderate River Flooding
AMTOLI CULVERT,2.0,Moderate River Flooding
AMTOLI JAMIRDA CULVERT,0.0,Not Flood Prone
AMTOLI PARA BRIDGE,0.0,Not Flood Prone
AMTOLI PARA STEEL BEAM AND RCC SLAB,0.0,Not Flood Prone
AMTOLI SLAB CULVERT,4.0,Severe Flash Flooding
AMTULA BOX,5.0,Moderate Flash Flooding
AMTULI BOX CULVERT,0.0,Not Flood Prone
ANAILLA BRIDGE,0.0,Not Flood Prone
ANANALACHA BOX CULVERT,7.0,Severe Tidal Surge
ANANDABAZAR CULVERT,0.0,Not Flood Prone
ANANDAPUR,0.0,Not Flood Prone
ANANDAPUR BAILEY WITH STEEL DECK,0.0,Not Flood Prone
ANANTAPUR,5.0,Moderate Flash Flooding
ANAR PURA BRIDGE(L),2.0,Moderate River Flooding
ANARDA BAZAR,7.0,Severe Tidal Surge
ANARPUR BRIDGE(R),2.0,Moderate River Flooding
ANATABUS BOX CULVERT,2.0,Moderate River Flooding
ANAXOBASA CULVERT,0.0,Not Flood Prone
ANAYAT BHUIYAN SLAB CUL,3.0,Low River Flooding
ANAYET BUHAYAN CULVERT,3.0,Low River Flooding
ANAYET PUR BOX CULVERT,0.0,Not Flood Prone
ANAYETPUR,0.0,Not Flood Prone
ANAYETPUR BOX CULVERT,1.5,Severe River Flooding
ANAYIT PUR BOXCULVERT,0.0,Not Flood Prone
ANBAGAN BOX CULVERT,0.0,Not Flood Prone
ANDAJER BAZER BOX CULVERT,0.0,Not Flood Prone
ANDER MANIK BRIDGE,3.0,Low River Flooding
ANDERGUNA BOX CULVERT,0.0,Not Flood Prone
ANDERGUNA BRIDGE,0.0,Not Flood Prone
ANDERGUNA SLAB CULVERT,0.0,Not Flood Prone
ANGAMURUNG RCC GIDER BRIDGE,0.0,Not Flood Prone
ANGAMURUNG SLAB CULVERT,0.0,Not Flood Prone
ANGARGHARA BOX CULVERT,0.0,Not Flood Prone
ANGARJOR RCC GIRDER BRIDGE,2.0,Moderate River Flooding
ANGOAN BOX CULVERT,2.0,Moderate River Flooding
ANGOOM BOX CUL,2.0,Moderate River Flooding
ANJIM PUR BRIDGE,3.0,Low River Flooding
ANNANDARSHAH CULVERT,0.0,Not Flood Prone
ANNOPASA,0.0,Not Flood Prone
ANNOPASA CULVERT,0.0,Not Flood Prone
ANSWER CLUB CULVERT,2.0,Moderate River Flooding
ANUKANDI,0.0,Not Flood Prone
ANUPOIR,0.0,Not Flood Prone
ANYATMUR BOX CULVERT (2),3.0,Low River Flooding
AODU NAGOR (2) BOX CULVERT,0.0,Not Flood Prone
AOLADINAYAR BRIDGE,0.0,Not Flood Prone
AOLIHAT MIR,5.0,Moderate Flash Flooding
AOLIHUT R C C,5.0,Moderate Flash Flooding
AONGOR GARA BOX CULVERT,0.0,Not Flood Prone
AOWRANGABAD BRIDGE,3.0,Low River Flooding
AOWRARGAT BAILEY WITH STEEL DECK,3.0,Low River Flooding
ARAI PARA BOX CULVERT,0.0,Not Flood Prone
ARAIHAZAR BAZAR BOX CULVERT,0.0,Not Flood Prone
ARAIPARA SLAB CULVERT,0.0,Not Flood Prone
ARAIURA CULVERT,4.0,Severe Flash Flooding
ARALJURI BRIDGE,0.0,Not Flood Prone
ARCH CULVERT,4.0,Severe Flash Flooding
ARCH MASONARY,2.0,Moderate River Flooding
ARCH NAGAR CULVERT,7.0,Severe Tidal Surge
ARIAKHAA BRIDGE,3.0,Low River Flooding
ARIBARI SLAB CULVERT,0.0,Not Flood Prone
ARICHA -GORAI BAILEY WITH STEEL DECK,2.0,Moderate River Flooding
ARIHAZAR BAZAR CULVERT,0.0,Not Flood Prone
ARINAGAR CULVERT,2.0,Moderate River Flooding
ARIPARA - GOARA (1),0.0,Not Flood Prone
ARIPARA GOARA,0.0,Not Flood Prone
ARKASIMPUR BRIDGE,0.0,Not Flood Prone
ARMONGO 2,5.0,Moderate Flash Flooding
ARMONGOL,5.0,Moderate Flash Flooding
ARMY CAMP,0.0,Not Flood Prone
ARMY CAMP -2- BOX CULVERT,0.0,Not Flood Prone
ARONG BAZAR BRIDGE,2.0,Moderate River Flooding
ARONGABAD BOX CULVERT,0.0,Not Flood Prone
ARROKOMATVATRA,3.0,Low River Flooding
ARSHOP PUR BOX CULVERT,3.0,Low River Flooding
ARSINAGAR CULVERT,3.0,Low River Flooding
ASAHULIA PC GIDER BRIDGE,3.0,Low River Flooding
ASAMPUR,2.0,Moderate River Flooding
ASHAMH BRIDGE,0.0,Not Flood Prone
ASHARIR CHAR (L),2.0,Moderate River Flooding
ASHENPUR RCC GIDER BRIDGE,3.0,Low River Flooding
ASHINPUR RCC GIDER BRIDGE,3.0,Low River Flooding
ASHIR CHAR ( Left),2.0,Moderate River Flooding
ASHIR CHAR (R),2.0,Moderate River Flooding
ASHIR CHAR (Right),2.0,Moderate River Flooding
ASHULIA RCC GIDER BRIDGE,1.5,Severe River Flooding
ASIMPUR BOX CULVERT,2.0,Moderate River Flooding
ASLAM JANJ RCC GUIDE BRIDGE,3.0,Low River Flooding
ASLODIA,3.0,Low River Flooding
ASLODIA BOXCULVERT,3.0,Low River Flooding
ASLODIA[1],3.0,Low River Flooding
